?�짜,a,최�?기온(??,최고기온(??,b
2021-01-01,46,-9.8,1.6,42
2021-01-02,33,-8.4,-1.4,38
2021-01-03,31,-9.1,-2,31
2021-01-04,26,-8.4,0.3,26
2021-01-05,22,-9.9,-2.1,32
2021-01-06,25,-12,-1.9,33
2021-01-07,25,-16.5,-8.4,35
2021-01-08,34,-18.6,-10.7,37
2021-01-09,31,-16.6,-7.5,37
2021-01-10,30,-12.8,-2.7,29
2021-01-11,24,-9.6,-4,29
2021-01-12,25,-9.3,-0.5,27
2021-01-13,31,-3,8.3,25
2021-01-14,34,-3.6,7,34
2021-01-15,47,-0.7,9.9,43
2021-01-16,45,-8.7,-0.7,33
2021-01-17,51,-10.8,-1.3,41
2021-01-18,59,-9.1,0.2,48
2021-01-19,59,-11.6,-0.2,44
2021-01-20,59,-6.6,7.1,43
2021-01-21,60,2.5,7,45
2021-01-22,64,4.8,6.6,44
2021-01-23,64,4.8,12.2,39
2021-01-24,65,2.4,13.9,43
2021-01-25,76,3,13.9,40
2021-01-26,78,1.7,7.4,40
2021-01-27,94,-1.8,6.5,44
2021-01-28,100,-9.7,1.4,41
2021-01-29,99,-11.6,-4.9,46
2021-01-30,62,-8.1,5.2,38
2021-01-31,55,-3.8,8.7,32
2021-02-01,51,-2.3,9.5,31
2021-02-02,42,-8.2,-2.4,24
2021-02-03,44,-9.4,1.4,25
2021-02-04,41,-7.4,0.7,25
2021-02-05,52,-4.4,6.7,29
2021-02-06,54,4.3,9.5,27
2021-02-07,47,-2.6,7.7,26
2021-02-08,39,-5.4,0.2,23
2021-02-09,37,-6.1,4.7,23
2021-02-10,36,-1.5,7.2,20
2021-02-11,34,1.3,10.9,21
2021-02-12,47,0.6,14,26
2021-02-13,49,1,15.9,25
2021-02-14,40,6.4,13.8,23
2021-02-15,33,-5.2,8.2,19
2021-02-16,32,-7,-1.3,19
2021-02-17,30,-10.4,-5.2,16
2021-02-18,27,-10.6,-0.4,18
2021-02-19,35,-7.1,8.9,18
2021-02-20,23,5.5,14.9,18
2021-02-21,18,4.7,17.4,14
2021-02-22,17,0.4,12.6,12
2021-02-23,17,-3.1,4.3,13
2021-02-24,14,-3,10.1,13
2021-02-25,12,0.7,8.2,15
2021-02-26,13,0.5,15.8,11
2021-02-27,14,4.3,16.2,11
2021-02-28,9,3.2,10.8,10
2021-03-01,11,0.5,9,9
2021-03-02,10,0.2,6.9,10
2021-03-03,10,-1.2,9.9,8
2021-03-04,9,2.5,13,11
2021-03-05,17,3,16.2,14
2021-03-06,19,3.2,11.6,16
2021-03-07,21,2.1,12.2,15
2021-03-08,19,1.5,13.9,13
2021-03-09,18,2.1,12.2,13
2021-03-10,24,1.7,17.1,14
2021-03-11,24,4.7,17.1,16
2021-03-12,25,7.2,14.9,16
2021-03-13,49,4.6,14.2,17
2021-03-14,42,4.9,14.7,20
2021-03-15,36,5.1,15.7,21
2021-03-16,27,4.9,13.1,14
2021-03-17,12,1.8,17.5,8
2021-03-18,12,5,18.4,6
2021-03-19,15,11.4,20.2,6
2021-03-20,14,7.4,14.7,6
2021-03-21,10,3.1,8.6,5
2021-03-22,12,1.1,11.1,4
2021-03-23,8,2.5,16.4,4
2021-03-24,8,5.7,16.9,4
2021-03-25,8,6.8,19,4
2021-03-26,9,4.8,20.6,5
2021-03-27,9,10.2,15,3
2021-03-28,6,7.7,13,4
2021-03-29,6,7.3,14.6,3
2021-03-30,9,4.1,18.2,4
2021-03-31,7,5.9,22.9,4
2021-04-01,5,12,24,2
2021-04-02,8,12.5,23,4
2021-04-03,7,10.9,18,2
2021-04-04,6,9,15.8,3
2021-04-05,7,5.4,19.3,2
2021-04-06,7,9.4,19.2,4
2021-04-07,6,8.1,20.4,3
2021-04-08,5,7.2,18,3
2021-04-09,7,7.6,19.6,3
2021-04-10,7,7.7,18.8,3
2021-04-11,6,7.5,21.8,3
2021-04-12,5,11.9,17.8,3
2021-04-13,5,5.7,13.5,3
2021-04-14,5,3.1,13.3,2
2021-04-15,6,6.3,18.3,1
2021-04-16,8,8.1,14.8,3
2021-04-17,6,6,14.6,2
2021-04-18,6,5.6,15.3,2
2021-04-19,5,5.8,19.4,2
2021-04-20,6,8.1,22,3
2021-04-21,4,10.3,28.2,2
2021-04-22,4,16.1,27.5,1
2021-04-23,5,17,21.7,3
2021-04-24,6,15.3,22.2,3
2021-04-25,5,12.6,24,3
2021-04-26,4,12.3,20.6,2
2021-04-27,5,12.5,20,1
2021-04-28,5,11.2,18.2,1
2021-04-29,5,10.9,20.1,2
2021-04-30,6,8.6,14.6,2
2021-05-01,6,8.5,15.3,2
2021-05-02,7,7.3,18.7,1
2021-05-03,7,8.4,20.3,2
2021-05-04,7,11.4,15.8,1
2021-05-05,5,10.3,18.4,1
2021-05-06,7,7.9,23.1,2
2021-05-07,6,10.7,17.2,2
2021-05-08,6,8.9,21,2
2021-05-09,4,10,21.8,1
2021-05-10,5,11.7,14.6,2
2021-05-11,4,9.4,25.7,2
2021-05-12,5,16.9,27.7,1
2021-05-13,3,16.6,29.6,2
2021-05-14,5,18,30.8,2
2021-05-15,5,20.8,26.2,1
2021-05-16,5,14.8,20.8,1
2021-05-17,6,14.2,16.7,1
2021-05-18,6,13.6,24.5,2
2021-05-19,4,12.4,26.6,1
2021-05-20,4,15.6,22.9,1
2021-05-21,8,14.2,18.2,1
2021-05-22,6,13.8,23.8,1
2021-05-23,5,14.3,25.1,1
2021-05-24,6,16.4,24.5,2
2021-05-25,4,11.9,19.3,1
2021-05-26,4,11.5,23,1
2021-05-27,4,13.9,18.7,1
2021-05-28,4,12.4,19.7,2
2021-05-29,5,12.8,19.1,2
2021-05-30,3,10.8,26.3,1
2021-05-31,4,16.5,23.8,1
2021-06-01,4,15.9,23.9,1
2021-06-02,3,16.6,29.7,1
2021-06-03,4,14.6,22.7,1
2021-06-04,6,13.3,23.6,1
2021-06-05,4,17,25.7,2
2021-06-06,6,18.4,28.2,2
2021-06-07,3,19.4,24,1
2021-06-08,4,18.8,29.5,1
2021-06-09,5,19.5,31.6,1
2021-06-10,4,20.5,29.8,2
2021-06-11,5,19.9,24.4,1
2021-06-12,7,18.2,30.2,1
2021-06-13,5,20.9,29.7,1
2021-06-14,6,18.9,30.2,1
2021-06-15,5,21.5,25.3,1
2021-06-16,4,20.3,28.9,1
2021-06-17,5,19.6,25,1
2021-06-18,5,19,21.4,1
2021-06-19,5,17.5,27.4,1
2021-06-20,5,17.6,29,1
2021-06-21,4,19.2,28.5,1
2021-06-22,5,19.7,28.6,1
2021-06-23,4,18.8,27.9,1
2021-06-24,4,18.5,28,1
2021-06-25,4,19.5,29.5,1
2021-06-26,4,19.9,26.7,1
2021-06-27,5,19.8,30.8,1
2021-06-28,5,21,29.2,1
2021-06-29,5,21.3,28.4,2
2021-06-30,6,21,28.8,1
2021-07-01,5,21.4,31,1
2021-07-02,5,23.6,31.8,1
2021-07-03,5,19.6,25.7,1
2021-07-04,5,19.8,23.1,1
2021-07-05,6,20.1,26.9,1
2021-07-06,6,21,30.1,1
2021-07-07,6,23.9,29.1,1
2021-07-08,5,23.8,29.8,1
2021-07-09,6,23.6,29.2,1
2021-07-10,6,23.1,29.2,1
2021-07-11,4,24.1,27.5,1
2021-07-12,5,23.8,32.5,1
2021-07-13,5,26.3,31.5,1
2021-07-14,4,26.1,33.5,1
2021-07-15,6,25.9,34.5,1
2021-07-16,7,24.2,35.2,2
2021-07-17,5,24.7,32.8,1
2021-07-18,7,25.7,34.1,1
2021-07-19,5,24,30.5,1
2021-07-20,5,23.6,31.8,1
2021-07-21,4,25.3,35.3,1
2021-07-22,3,26.5,35.9,1
2021-07-23,3,27.2,35.8,1
2021-07-24,4,26.9,36.5,1
2021-07-25,5,27.2,35.9,1
2021-07-26,5,27.4,35.4,1
2021-07-27,6,27.8,35.7,1
2021-07-28,5,27.1,34.7,1
2021-07-29,7,27,33.3,2
2021-07-30,6,25.8,35.4,2
2021-07-31,7,26.8,34.3,2
2021-08-01,7,25.1,28.8,1
2021-08-02,7,25,28.6,1
2021-08-03,7,24.1,31.4,1
2021-08-04,6,26.3,33.2,1
2021-08-05,10,25.6,33.7,2
2021-08-06,9,26,32.2,1
2021-08-07,10,23.4,32.3,1
2021-08-08,9,24.4,32.1,2
2021-08-09,8,23.3,33.6,1
2021-08-10,9,24.3,32.2,1
2021-08-11,7,24.1,31.6,1
2021-08-12,7,24,31.7,2
2021-08-13,10,23.4,30.1,3
2021-08-14,9,23.4,30.5,2
2021-08-15,10,21.7,32.4,1
2021-08-16,9,22.5,32.8,1
2021-08-17,7,21.9,31.3,2
2021-08-18,6,20.6,31,2
2021-08-19,7,21,31.5,2
2021-08-20,9,22.6,30.7,2
2021-08-21,9,21,25.5,1
2021-08-22,9,22.4,27,1
2021-08-23,12,21,24,2
2021-08-24,9,21.1,26.4,3
2021-08-25,10,23.5,27.3,2
2021-08-26,11,22.9,27.9,1
2021-08-27,10,20.4,25.5,2
2021-08-28,11,19.7,28.2,1
2021-08-29,12,21.9,26.3,3
2021-08-30,11,21.2,27.7,2
2021-08-31,13,18.1,23.1,2
2021-09-01,11,18.5,23.9,3
2021-09-02,10,20.7,26.7,2
2021-09-03,12,20.6,29.2,4
2021-09-04,13,18.5,28.6,4
2021-09-05,12,19.4,27.3,3
2021-09-06,13,18,26.4,2
2021-09-07,13,17.6,20.9,3
2021-09-08,12,19,26.9,2
2021-09-09,9,19.1,29.1,1
2021-09-10,14,19.5,28.9,3
2021-09-11,12,19.9,29.4,3
2021-09-12,12,19.2,29.8,3
2021-09-13,11,20.8,30.3,3
2021-09-14,12,20,29.5,3
2021-09-15,11,19.5,28.9,4
2021-09-16,15,18,27.3,4
2021-09-17,19,20.5,28.2,6
2021-09-18,17,18.9,29.8,7
2021-09-19,16,20.8,27.8,5
2021-09-20,14,19,28.4,5
2021-09-21,13,17.4,26.2,5
2021-09-22,10,16.8,24.3,2
2021-09-23,10,16.9,25.9,4
2021-09-24,14,16.7,26.9,4
2021-09-25,14,18.7,23.1,3
2021-09-26,18,18.4,27.3,5
2021-09-27,0,18.7,25,0
2021-09-28,10,19.6,24.4,3
2021-09-29,10,17.8,21.4,2
2021-09-30,12,16,25.9,4
2021-10-01,12,16.9,27.5,5
2021-10-02,15,16.4,26.6,6
2021-10-03,13,17.1,28.8,6
2021-10-04,13,19.2,25.6,5
2021-10-05,12,21.7,26.5,5
2021-10-06,12,17.9,21.7,5
2021-10-07,10,17.9,21.9,20
