Date,Close,High,Low,Open,Volume
2018-01-02,69777.35938,70415.01148,69412.98674,70415.01148,2014838
2018-01-03,70779.39063,71781.41546,70415.01796,71143.76329,3097644
2018-01-04,70232.84375,72601.2665,70232.84375,71690.33467,3729328
2018-01-05,72236.88281,72327.97598,71325.95113,71417.04429,3395065
2018-01-08,71234.85156,72874.52845,70506.10628,72419.06265,2960495
2018-01-09,70050.64063,71872.50384,69504.08166,71325.94488,3343874
2018-01-10,66406.91406,69868.45416,66042.54142,69868.45416,9123901
2018-01-11,66133.63281,67226.75071,65587.07386,66680.19176,3777867
2018-01-12,67773.30469,67864.39784,65587.06905,66771.28002,5659087
2018-01-15,66224.73438,67500.03875,66042.54804,67135.66607,3541267
2018-01-16,67773.30469,68046.58414,66224.72111,66224.72111,4383229
2018-01-17,67500.05469,68319.89341,67135.68192,67773.33426,3256624
2018-01-18,68502.07031,69959.56117,67955.51124,69048.62938,6199800
2018-01-19,66771.28125,69048.61008,66498.00179,68593.14431,3898397
2018-01-22,64767.23047,66315.81404,64402.85786,66315.81404,5610463
2018-01-23,64949.41406,65769.25239,64585.04147,65404.8798,4671451
2018-01-24,65951.45313,66680.19846,65131.61462,65222.70779,3802939
2018-01-25,69048.60938,69412.98198,65860.34905,66862.37372,8758929
2018-01-26,68775.35156,69595.19019,67591.14021,69595.19019,4296170
2018-01-29,68593.16406,70141.74811,68319.88452,69686.28221,3618328
2018-01-30,66589.11719,67955.51494,66589.11719,67682.23539,5443314
2018-01-31,66953.49219,67864.42405,65769.28076,65769.28076,5800892
2018-02-01,67773.30469,68502.0499,67408.93208,68228.77044,2987816
2018-02-02,65769.26563,67955.5016,65404.89296,67864.40844,4343077
2018-02-05,63947.41406,64585.06634,63583.04133,63947.41406,4058439
2018-02-06,63947.41406,64949.43907,62125.55041,62945.38906,5679965
2018-02-07,64767.23047,67226.74555,64493.95102,67135.6524,6007913
2018-02-08,67317.84375,67591.12322,65222.70112,65495.98059,5586858
2018-02-09,66862.39063,67591.13603,65587.08617,65678.17935,5118112
2018-02-12,67864.42188,68046.60824,66862.39685,67135.67641,3317876
2018-02-13,70779.39063,70870.48379,69048.62046,69139.71362,7814367
2018-02-14,70688.28125,72419.05102,70141.72237,71417.02642,3943628
2018-02-19,69686.26563,71963.59457,69321.89299,71872.50141,3350577
2018-02-20,68775.35156,69686.28337,68502.07202,69595.19019,2507719
2018-02-21,70050.64063,70323.92011,69048.61586,69048.61586,2653870
2018-02-22,69139.71094,70506.10839,68957.52461,69321.89726,1879461
2018-02-23,70415.02344,70688.30296,69230.81218,69321.90535,2404473
2018-02-26,70597.21094,71508.14269,70323.93141,71325.95634,2327486
2018-02-27,71690.32813,72145.794,71417.0486,71690.32813,3395415
2018-02-28,69959.55469,72145.79077,69777.36835,71599.23175,3102987
2018-03-02,70506.11719,70870.48989,69139.71957,69504.09227,2673152
2018-03-05,71325.96094,71872.52003,70232.84276,70597.21549,3415061
2018-03-06,75060.77344,75151.86661,72874.53732,72965.63049,7588369
2018-03-07,75334.05469,76427.17277,75060.77517,76153.89325,4992841
2018-03-08,76062.80469,76791.55012,74514.22064,76427.1774,4440076
2018-03-09,75880.60938,78249.03176,75698.42304,76882.63423,5159197
2018-03-12,77338.10156,77975.75375,76791.54254,77338.10156,2744795
2018-03-13,81983.85156,81983.85156,79797.61552,80161.98819,8775741
2018-03-14,82621.5,82803.68633,81255.10254,81346.1957,5939290
2018-03-15,81619.5,82439.33873,80708.56808,82257.15234,4106667
2018-03-16,81801.65625,81892.74941,79433.23413,80617.44519,5006430
2018-03-19,81892.76563,83350.25645,81528.39292,82166.04515,3743718
2018-03-20,81619.5,81710.59319,80162.00893,80981.84766,3083666
2018-03-21,80526.35938,82257.12954,80161.98671,81619.47738,2942484
2018-03-22,80708.5625,81346.2148,80162.00339,80890.74887,2698169
2018-03-23,75698.42969,78704.50451,75425.15016,77520.29322,7310739
2018-03-26,76518.25781,76518.25781,73785.46289,74969.67402,6121334
2018-03-27,74149.83594,77247.00353,72965.6248,77155.91037,7184488
2018-03-28,73147.8125,74878.58266,72510.16034,72783.43983,4820673
2018-03-29,73147.8125,74058.74416,72510.16034,73603.27833,3618849
2018-03-30,74058.74219,75880.60546,73876.55586,73967.64902,3681673
2018-04-02,74058.74219,75425.13964,73876.55586,74423.11484,2342407
2018-04-03,74514.21094,74514.21094,71690.32275,73147.81343,3553815
2018-04-04,73238.90625,75607.32859,72874.53358,75151.86276,2964537
2018-04-05,75516.22656,75789.50603,73967.64291,74878.57447,3255356
2018-04-06,73147.8125,73421.092,72236.88084,72874.533,5693281
2018-04-09,73421.10156,73967.66063,72236.89025,72874.54249,3231256
2018-04-10,73238.90625,73603.27892,72145.78825,72874.53358,2924054
2018-04-11,73967.65625,75060.77432,73785.4699,75060.77432,3053453
2018-04-12,76518.25781,77520.28262,74240.92871,74605.30137,5725102
2018-04-13,76700.46875,78249.05304,76427.18917,77429.2143,3032369
2018-04-16,76518.25781,77155.90996,75971.69883,76700.44414,1489091
2018-04-17,75425.14063,76518.25861,74969.6748,76427.16544,2501282
2018-04-18,77064.8125,77793.55777,76244.97407,76609.34671,3375376
2018-04-19,80070.89844,80344.17795,77702.47596,78157.94182,5901782
2018-04-20,76882.64844,78613.41896,76518.2757,78249.04622,4590640
2018-04-23,76882.64844,77702.48711,75880.6234,75971.71658,3002461
2018-04-24,74787.48438,75971.69546,73238.90065,75880.6023,6804182
2018-04-25,75060.77344,75607.33247,73694.37586,74332.02806,3845661
2018-04-26,78795.59375,79342.15278,75880.61225,76336.07811,7551747
2018-04-27,79342.15625,80890.74024,79068.87672,80617.46071,4961867
2018-04-30,76973.74219,78066.86042,76518.27626,77793.58086,4653153
2018-05-02,75698.42969,78340.13181,75516.24333,78249.03863,5444240
2018-05-03,75516.22656,76427.15813,75425.13341,75789.50603,2362792
2018-05-04,75607.3125,76609.33712,75242.93991,76062.77824,2696141
2018-05-08,76062.80469,77702.48191,75789.52515,76973.73648,2979605
2018-05-09,75971.70313,77155.91432,75698.42362,76791.54165,2284106
