Date,Close,High,Low,Open,Volume
2018-01-02,41932.77734,42245.09517,41735.52398,42228.65739,8474250
2018-01-03,42425.91406,43198.48979,42261.53625,43182.05201,10013500
2018-01-04,41982.08984,42886.16774,41620.45869,42836.8544,11695450
2018-01-05,42836.85156,42836.85156,42080.71374,42162.90263,9481150
2018-01-08,42754.67188,43165.61643,42327.28953,43066.98974,8383650
2018-01-09,41423.19531,42508.08852,41078.00202,42294.39744,18013600
2018-01-10,40141.05078,41521.82403,39976.67301,41505.38625,18566800
2018-01-11,39647.92188,40486.24858,39467.10631,39615.04632,25123800
2018-01-12,39615.03906,39845.16792,38431.51922,39647.91461,27270450
2018-01-15,39894.48438,40256.11547,39384.91329,40108.17547,10096000
2018-01-16,41094.44141,41209.50584,39960.23482,40075.29926,20389650
2018-01-17,40782.125,41110.88054,40321.86724,41110.88054,11053050
2018-01-18,41012.26172,41620.45959,40946.5106,41110.8884,14848850
2018-01-19,40535.5625,41406.76478,40305.4336,41406.76478,9219950
2018-01-22,39647.92188,40009.553,39417.79298,39976.67745,12520900
2018-01-23,40404.06641,40404.06641,39697.24181,39993.12187,13532700
2018-01-24,40552.00391,40847.88395,39910.93048,40157.49718,9550500
2018-01-25,41308.13672,41390.32561,40404.05892,40453.37225,11160350
2018-01-26,41735.51953,41735.51953,40962.94394,41505.39063,10350100
2018-01-29,42097.14453,42310.83562,41834.14011,42080.70676,11838800
2018-01-30,40930.07422,41620.46101,40913.63644,41456.0832,12284550
2018-01-31,41012.26172,44497.07113,40765.69502,41110.8884,64681300
2018-02-01,40946.49609,41883.44924,40864.30722,41604.00707,27609450
2018-02-02,39204.11328,40601.32487,39204.11328,40584.88708,29260350
2018-02-05,39384.92188,39713.67748,37806.89496,38217.83947,28357900
2018-02-06,38973.98047,39384.92501,38283.59364,38300.03142,19406450
2018-02-07,37642.50781,39664.3543,37642.50781,39647.91653,23448050
2018-02-08,37806.89453,38316.46572,37790.45675,37905.52121,23251050
2018-02-09,36738.4375,37132.94421,36508.30859,36524.74636,17465000
2018-02-12,37576.76172,38069.89507,37017.87725,37067.19058,15754950
2018-02-13,39072.58984,39499.97198,37971.25896,37971.25896,18923250
