Date,Close,High,Low,Open,Volume
2018-01-02,180.5689697,180.7282228,176.7171285,176.8465083,18151900
2018-01-03,183.8037262,183.9132108,180.4793975,181.0268205,16886600
2018-01-04,183.4653168,185.3365026,183.2363999,184.032635,13880900
2018-01-05,185.9735107,186.023264,184.0625039,184.7194116,13574500
2018-01-08,187.3968048,188.0138916,185.455955,186.3218691,17994700
2018-01-09,186.9886932,187.9143385,186.2223163,187.8148015,12393100
2018-01-10,186.958847,187.0086155,184.7592226,186.063075,10529900
2018-01-11,186.8891754,187.5162098,186.5010055,187.5162098,9588600
2018-01-12,178.528595,180.6286979,176.5678348,177.2247424,77551300
2018-01-16,177.5531921,180.8974314,177.2048279,180.6486041,36183800
2018-01-17,176.7669067,178.4788396,174.9753473,178.4191083,27992400
2018-01-18,178.9565887,180.1310463,176.2493466,177.2944243,23304900
2018-01-19,180.4395599,181.5144955,179.3248187,180.0016367,26826500
2018-01-22,184.5004578,184.5203682,179.5637327,179.9519027,21059500
2018-01-23,188.461792,188.6608508,184.6796142,185.1772688,25678800
2018-01-24,185.6749115,189.7656324,185.6450534,188.9992402,24334500
2018-01-25,186.6005402,187.7351919,185.7246785,187.0683366,17377700
2018-01-26,189.1087189,189.1087189,185.9336806,186.8692735,17759200
2018-01-29,185.1075897,187.9541745,184.7592406,187.8646003,20453200
2018-01-30,186.2422333,187.2972585,180.9870025,186.7398878,20858600
2018-01-31,186.0133057,188.9395167,184.3511414,187.4863588,43275100
2018-02-01,192.1842499,194.4038003,187.0086451,187.3370989,54211300
2018-02-02,189.3874207,193.2989934,189.0888249,191.1391593,26677500
2018-02-05,180.409729,189.7158755,179.7627841,186.05313,33128200
2018-02-06,184.4407196,184.8985685,176.9062379,177.7323463,37758500
2018-02-07,179.3347931,184.211817,179.1058762,183.2861716,27601900
2018-02-08,170.7751465,180.9870129,170.6756095,180.1609045,38478300
2018-02-09,175.2838898,176.0701773,166.3957714,173.9402164,39887600
2018-02-12,175.582489,176.7171408,171.033919,176.2294339,32092100
2018-02-13,172.3377838,175.1445631,172.2880305,174.7961988,21809400
2018-02-14,178.677887,178.9665199,172.3974892,172.6363537,28929700
2018-02-15,179.11586,179.6533203,176.0104848,179.6533203,20922100
2018-02-16,176.5280151,179.0361982,175.47299,178.1503738,20645300
2018-02-20,175.1843567,177.1152589,174.2885845,174.9454922,21204900
2018-02-21,177.0754395,180.4196785,175.572513,175.8810716,23200800
2018-02-22,178.1503906,179.364669,176.5778003,177.8617425,18464200
2018-02-23,182.4302063,182.5297433,178.6679389,179.0561089,19007300
2018-02-26,184.0625,184.7890866,182.36053,183.7141509,17599700
2018-02-27,180.6087799,183.8335714,180.6087799,183.5847441,15849800
2018-02-28,177.4835358,182.0221431,177.3043722,181.444862,18783000
2018-03-01,175.1147003,179.2750854,173.5918785,178.1702916,23201600
2018-03-02,175.7914886,176.2791956,172.1785269,172.4771075,20025900
2018-03-05,179.5537415,180.3002232,175.0649032,175.3734466,16189300
2018-03-06,178.9366608,181.5244704,178.2698055,180.9272789,15086800
2018-03-07,182.8482361,182.9577207,177.2346935,177.9015488,19097300
2018-03-08,181.4846344,183.5349685,180.59881,182.6989126,17225900
2018-03-09,184.3610992,184.6397846,182.3505858,183.0472991,18526300
2018-03-12,183.8932953,185.227021,183.3558351,184.3610918,15301200
2018-03-13,181.0268097,185.1175304,180.2604175,184.7393081,18067500
2018-03-14,183.3259735,183.3856896,180.996954,181.7434358,16821700
2018-03-15,182.9975433,183.136886,181.3353789,182.3804565,15614300
2018-03-16,184.221756,184.4606356,182.549644,183.6245796,24403400
2018-03-19,171.7505493,176.3389252,169.2622764,176.1796721,88140100
2018-03-20,167.3612213,169.401608,161.1903078,166.6844184,129851800
2018-03-21,168.5954132,172.5865974,162.5339842,164.0269479,106598800
2018-03-22,164.1165161,169.4712839,162.9520063,165.3507049,73743000
2018-03-23,158.6423187,165.8185041,158.2740592,164.6639419,53609700
2018-03-26,159.3091736,160.3443036,148.3209677,160.0656182,126116600
2018-03-27,151.5059509,162.0860914,150.0428454,155.5767615,79117000
2018-03-28,152.3121338,155.1487705,150.092599,150.9386025,60029200
2018-03-29,159.0404358,160.6627945,153.4169454,154.4222021,59434300
2018-04-02,154.6610718,158.4531968,153.3870774,157.0697178,36796000
2018-04-03,155.3777008,156.6516952,150.1025597,155.8156392,42543900
2018-04-04,154.3724518,154.8302855,149.8039713,151.3168455,49885600
2018-04-05,158.5925598,160.8121102,155.9151757,160.8021474,41449600
2018-04-06,156.4625702,160.6627753,156.0744003,156.9900827,41644800
2018-04-09,157.1891632,159.776973,155.3080296,157.0796938,34915200
2018-04-10,164.2658081,165.2014011,156.2734772,157.1891598,57889300
2018-04-11,165.5398102,167.8588669,162.4842041,164.5843068,56144600
2018-04-12,163.1013031,166.6645116,162.334926,166.1967151,38263000
2018-04-13,163.7482605,164.922718,163.0017787,163.8079766,19990600
2018-04-16,164.0568085,165.0023491,162.6235609,164.942633,18119400
2018-04-17,167.8688354,168.2072369,164.8829082,165.0521089,22743000
2018-04-18,165.5796204,167.3313589,164.9923916,166.0971853,20969600
2018-04-19,167.3114624,167.5403792,164.425057,165.420366,22235000
2018-04-20,165.4999847,167.6398931,165.0321883,167.0028959,19119400
2018-04-23,165.0620728,167.6598304,164.3155909,166.4853728,23088100
2018-04-24,158.940918,165.3208532,157.4479543,164.6539827,35079900
2018-04-25,158.940918,160.3044866,155.457336,159.388804,41083600
2018-04-26,173.3430481,175.443151,169.9988087,172.407455,77556900
2018-04-27,172.7756958,176.2692403,171.7903496,175.9805922,29804700
2018-04-30,171.193161,174.895712,170.9045281,172.9747576,20750500
2018-05-01,173.0444489,173.203702,169.4314718,171.1931732,26025900
2018-05-02,175.2440796,177.2446454,173.3828413,173.4326097,30424500
2018-05-03,173.2036896,175.2938295,171.3125932,174.3084833,24026100
2018-05-04,175.7815399,176.1497994,172.2481896,172.2681,17677800
2018-05-07,177.1351776,178.6579995,176.3389272,176.5180908,18697200
2018-05-08,178.0806885,178.2001207,176.2791816,177.4138333,15577200
2018-05-09,181.8031616,182.1515107,177.9413575,178.827182,23282800
2018-05-10,184.6596985,185.25689,181.6439131,182.2908579,21071400
2018-05-11,186.1128693,187.4366323,183.3160377,183.9829082,21207800
2018-05-14,185.7644958,186.9787742,185.3265574,186.8294839,15646700
2018-05-15,183.455368,184.4208038,182.3406116,184.0127387,15429400
2018-05-16,182.3406219,183.4553785,181.8031617,182.8382765,16975500
2018-05-17,182.897995,183.1965908,181.3652257,181.8230593,14840700
2018-05-18,181.8230591,183.3259855,181.7533953,182.6292722,13130500
2018-05-21,183.624588,184.430786,182.270967,182.9079642,13532900
2018-05-22,182.9378204,184.5502164,182.5695457,184.0625094,12731400
2018-05-23,186.0232544,186.0332172,181.3253945,181.6439007,16628100
2018-05-24,185.0578156,185.9237448,184.1620434,185.0080622,12354700
2018-05-25,184.0525665,185.4559561,183.58477,185.1474127,10965100
2018-05-29,184.8687286,185.9337015,182.8482523,183.4752867,16398900
2018-05-30,186.7896423,187.1180961,184.3809963,185.6649383,13736900
2018-05-31,190.8803864,191.8159794,186.600554,186.988724,30782600
2018-06-01,193.0800018,193.6373725,191.1690103,192.1643194,17307200
2018-06-04,192.3733521,193.0700654,190.5718449,190.9401044,18939800
2018-06-05,192.0349426,194.085277,191.7164364,193.3885636,15544300
2018-06-06,190.4424286,191.6268488,188.2228937,190.1338852,22558900
2018-06-07,187.2972565,190.0741773,185.8938822,189.8552081,21503200
2018-06-08,188.2129517,188.5911588,185.5554631,186.6503091,12677100
2018-06-11,190.6414948,191.6965351,187.9143576,187.9243052,12928900
2018-06-12,191.4974823,192.3733592,190.6614262,191.2685654,11562700
2018-06-13,191.507431,193.5876234,191.0097765,191.8358849,15853800
2018-06-14,195.8867645,196.354561,192.0050654,192.1941766,19120900
2018-06-15,194.9312897,196.145568,193.726959,194.8715584,21860900
2018-06-18,197.3797455,198.6437923,193.2193607,193.886216,16826000
2018-06-19,196.5635986,197.0313951,192.8809428,195.3194623,19994000
2018-06-20,201.0524445,202.5951766,197.8774059,198.1660541,28230900
2018-06-21,200.5547943,202.435928,199.1514048,201.8088784,19045700
2018-06-22,200.7936707,201.2913252,198.3750616,200.2163895,17420200
2018-06-25,195.4289398,199.0618118,192.204133,199.0618118,25275100
2018-06-26,198.0665131,198.16605,195.3095026,196.6730864,17897600
2018-06-27,194.9213409,199.8083125,194.8815353,198.2456699,18734400
2018-06-28,195.309494,196.4142877,192.3534249,194.2644165,18172400
2018-06-29,193.4084625,196.673075,193.0501507,196.3943897,15811600
2018-07-02,196.4342041,196.5237783,191.3183159,192.4629153,13961600
2018-07-03,191.8259125,194.4833859,191.6169061,193.6373823,13489500
2018-07-05,197.5190887,197.7181475,193.1198243,193.8265005,19684200
2018-07-06,202.2766571,202.6847375,196.7725992,197.519081,19740100
2018-07-09,203.7795868,204.834612,201.1718667,203.9686828,18149400
2018-07-10,202.5852051,203.9487889,201.3112107,203.5407085,13190100
2018-07-11,201.5898895,203.540702,200.8036021,201.2713985,12927400
2018-07-12,205.9493408,206.1085939,202.2368424,202.4757069,15454700
2018-07-13,206.3475037,207.4522823,205.4815744,206.8351954,11486800
2018-07-16,206.2579041,207.7409201,205.8697341,206.5266418,11078200
2018-07-17,209.0049591,209.4727556,203.8791082,203.9388243,15349900
2018-07-18,208.3779144,210.0002731,207.4622319,208.8357633,15334900
2018-07-19,207.1138763,209.0049728,206.7854225,207.7906945,11350400
2018-07-20,208.9552002,210.50788,207.5219526,207.8703169,16163900
2018-07-23,209.920639,210.6273,207.8205363,209.5921852,16732000
2018-07-24,213.6630096,215.1858314,211.6027276,214.1009481,28468700
2018-07-25,216.4797363,217.5944777,213.2648921,214.7080873,58954200
2018-07-26,175.4331818,179.2850384,172.9349613,174.0696131,169803700
2018-07-27,174.0696106,179.0859619,172.188477,179.0262457,60073700
2018-07-30,170.2575684,174.4776843,165.7786775,174.4776843,65280800
2018-07-31,171.7704468,173.4226635,169.2025475,169.8694027,40356500
2018-08-01,170.8448029,174.258721,170.098321,173.1141064,34042100
2018-08-02,175.5426636,175.9606916,169.4712871,169.8793523,32400000
2018-08-03,176.9460449,178.0110329,175.3236863,176.8564708,24763400
2018-08-06,184.8189545,184.9184763,177.5432472,178.1304759,49716200
2018-08-07,182.9477539,187.416697,182.8581797,185.6251377,33398600
2018-08-08,184.3113403,185.97352,182.8980032,183.8833647,22205200
2018-08-09,182.2311401,185.6948268,181.624001,184.978203,19732100
2018-08-10,179.4144135,181.2457937,178.5783575,181.1860624,21500400
2018-08-13,179.2054138,181.7534028,178.0607992,179.2551823,17423300
2018-08-14,180.260437,181.1363139,177.7821118,179.8623194,19102000
2018-08-15,178.6878357,180.0215462,173.9601176,178.4987245,33020200
2018-08-16,173.8804932,179.6532889,173.1937275,179.5736623,31351800
2018-08-17,172.984726,175.3933722,171.2329722,173.6814393,24893200
2018-08-20,171.6908112,173.7511082,170.1082734,173.2235804,21518000
2018-08-21,171.810257,173.3529891,170.586031,171.9993681,19578500
2018-08-22,172.82547,173.4226615,171.3225587,171.4021853,16894100
2018-08-23,172.0889282,174.7265063,172.0192645,172.2780394,18053600
2018-08-24,173.8307343,173.9999502,172.1088537,172.8851936,14631600
2018-08-27,176.6275482,177.8318636,174.9653688,175.1644427,17921900
2018-08-28,175.4331818,177.4039048,175.0052061,177.2645621,15910700
2018-08-29,175.0748596,175.9606841,173.9302603,175.4729924,18494100
2018-08-30,176.8067017,178.9466101,174.8757996,175.0748584,24216500
2018-08-31,174.9056702,176.7868038,174.1591883,176.3190073,18065200
2018-09-04,170.3571167,173.0743064,168.0081865,172.6861365,29809000
2018-09-05,166.3957825,170.3272659,165.8881803,168.6949594,31226700
2018-09-06,161.7675934,166.196716,159.2494625,166.196716,41514800
2018-09-07,162.275177,163.8577299,159.4086973,159.5579876,24300600
2018-09-10,163.4098358,164.2359442,161.3993224,162.7429806,20197700
2018-09-11,165.1615906,166.4057269,162.9520032,163.1709724,20457100
2018-09-12,161.2400665,163.7183915,161.0410078,162.4842028,24078100
2018-09-13,160.6030884,162.553901,160.1054338,161.2400856,25453800
2018-09-14,161.5585632,162.076113,159.5878405,160.9613718,21770400
2018-09-17,159.8267365,161.2997897,159.0205385,161.160447,21005300
2018-09-18,159.5480347,161.0011773,158.1247349,158.6422998,22465200
2018-09-19,162.2950897,162.673312,158.7318815,159.329073,19629000
2018-09-20,165.2412109,165.6691865,163.6984789,163.7283369,18936000
2018-09-21,162.1657104,166.4654532,162.0462782,165.858314,45994800
2018-09-24,164.634079,164.9227119,160.1253301,160.2746203,19222800
2018-09-25,164.1364288,164.8132317,160.3940569,161.2301281,27622800
2018-09-26,166.1668549,168.5058374,163.4397176,163.5292918,25252200
2018-09-27,168.0479736,170.964237,166.4256302,166.7640317,27266900
2018-09-28,163.6885223,167.9981969,161.7974262,167.5403633,34265600
2018-10-01,161.678009,165.1018747,160.5035364,162.2652377,26407700
2018-10-02,158.5826111,161.5187701,157.9257034,160.8220567,36031000
2018-10-03,161.6680298,162.8922708,158.7816398,159.2494363,23109500
2018-10-04,158.1048431,160.7026003,156.6118796,160.7026003,25739600
2018-10-05,156.5919952,160.1452411,155.467291,158.4631814,25744000
2018-10-08,156.5123444,157.5972276,153.6657599,154.8103592,24046000
2018-10-09,157.159317,159.8367012,156.6815729,156.9503106,18844400
2018-10-10,150.6699066,156.950305,150.6002277,156.0843909,30610000
2018-10-11,152.630661,154.0838038,148.4603133,149.4257644,35338900
2018-10-12,153.0188293,156.154047,150.5902727,155.9947939,25293500
2018-10-15,152.7998505,154.8402371,151.8343995,152.6007917,15433500
2018-10-16,158.0351868,158.7120049,154.282867,154.671037,19180100
2018-10-17,158.6721802,159.7371682,157.2090745,158.8115228,17592000
2018-10-18,154.1932831,157.9157446,152.5609768,157.7664391,21675100
2018-10-19,153.3273773,156.6119005,152.8297227,155.1288844,19761300
2018-10-22,154.0539398,156.6019287,153.7354488,154.0340294,15424700
2018-10-23,153.6657715,154.0439938,150.1423839,150.5106435,19095000
2018-10-24,145.3549347,153.9245467,144.9170114,153.5562872,27744600
2018-10-25,150.2418976,151.4959967,146.3104299,147.0370012,22105700
2018-10-26,144.6880798,148.3010567,143.1254524,145.1359811,31303300
2018-10-29,141.4234619,148.1318505,138.3778186,147.8033967,31336800
2018-10-30,145.5341034,145.9521314,139.0845044,139.2835632,50528300
2018-10-31,151.0779572,155.6663326,148.2612458,154.272906,60101300
2018-11-01,151.0381622,152.0334714,148.6494264,150.8092454,25640800
2018-11-02,149.6447449,153.4070124,148.2612657,151.0879402,24708700
2018-11-05,147.9825592,149.4854858,146.7483856,149.3959116,15971200
2018-11-06,149.2366486,150.2618157,147.3057465,148.609599,16667100
2018-11-07,150.8191833,152.2922365,149.127161,150.8590042,21877400
2018-11-08,147.1763611,150.2319675,146.0516721,149.7840814,24145800
2018-11-09,144.2800293,147.0668829,143.3942047,146.0616261,17326900
2018-11-12,140.8860168,144.3596361,139.8309915,143.8022654,18542100
2018-11-13,141.4931335,144.2003753,140.9556582,141.3338805,15141700
2018-11-14,143.5434875,144.8971086,140.8860139,143.0259225,22068400
2018-11-15,143.1752319,144.1605783,140.169394,141.6623577,30320300
2018-11-16,138.8754883,141.1049863,137.1237496,140.4082729,37250600
2018-11-19,130.9329224,137.1038361,130.5945209,136.9644934,44362700
2018-11-20,131.8087769,133.5306725,126.2549578,126.4341138,41939500
2018-11-21,134.1875763,136.5464539,133.5008106,133.7695331,25469700
2018-11-23,131.1120605,133.8690709,130.6442641,133.0230522,11886100
2018-11-26,135.7402649,136.3573517,132.1571459,132.3761152,24263600
2018-11-27,134.366745,135.9691935,133.0828028,135.1132269,20750300
2018-11-28,136.1184845,136.1483426,131.2315277,135.6407403,29847500
2018-11-29,138.0294647,139.3333325,135.023642,135.282417,24238700
2018-11-30,139.9504089,140.3087208,136.7156545,137.6114265,25732600
2018-12-03,140.4281616,143.0060086,140.0997078,142.3292057,24819200
2018-12-04,137.2829742,142.7173685,136.5165972,140.0698427,30307400
2018-12-06,138.9750061,139.0446698,133.0429575,133.192263,28218100
2018-12-07,136.7753754,140.2091887,136.0189459,138.5967929,21195500
2018-12-10,141.1845856,142.3789533,138.3578965,138.9451404,26422200
2018-12-11,141.4135132,143.2050725,140.4381146,143.2050725,20300300
2018-12-12,143.8221588,146.4995426,141.8414883,142.4088218,23696900
2018-12-13,144.3297577,145.1658288,142.5183031,144.8871435,18148600
2018-12-14,143.3842316,145.3250813,141.8414994,142.6676078,21785800
2018-12-17,139.5323792,144.2401867,137.7706779,142.4088217,24334000
2018-12-18,142.9860992,145.2454398,139.1740638,140.4182001,24709100
2018-12-19,132.6149902,144.2302456,131.878456,140.547605,57404900
2018-12-20,132.7742462,134.9340806,129.3902009,130.0869143,40297900
2018-12-21,124.3638763,134.2671994,122.8410545,132.7642881,56901500
2018-12-24,123.478035,129.1313981,122.4429127,122.5225392,22066000
2018-12-26,133.5505676,133.6102989,125.2994619,125.4089465,39723400
2018-12-27,133.8889923,134.3567888,129.0617368,131.8187474,31202500
2018-12-28,132.5751801,135.2824222,131.5798709,134.7051411,22627600
2018-12-31,130.4750671,134.0084175,129.3404154,133.8193063,24625300
2019-01-02,135.0435333,136.8649508,127.9569373,128.3849281,28146200
2019-01-03,131.1220245,136.5265456,130.5049226,134.0581833,22717900
2019-01-04,137.3028717,137.3526402,133.122577,133.3813519,29002100
