순번,총인구수,세대수,세대당인구수,남자인구수,여자인구수,남여비율,시군구명,행정동명
1,12166,5168,2.35,6057,6109,0.99,안양시 만안구,안양1동
2,22734,10737,2.12,11396,11338,1.01,안양시 만안구,안양2동
3,16160,7459,2.17,8008,8152,0.98,안양시 만안구,안양3동
4,6865,3594,1.91,3424,3441,1,안양시 만안구,안양4동
5,10147,4935,2.06,5045,5102,0.99,안양시 만안구,안양5동
6,26790,12672,2.11,13619,13171,1.03,안양시 만안구,안양6동
7,15101,5755,2.62,7393,7708,0.96,안양시 만안구,안양7동
8,8745,4426,1.98,4509,4236,1.06,안양시 만안구,안양8동
9,16880,7177,2.35,8301,8579,0.97,안양시 만안구,안양9동
10,18908,7458,2.54,9296,9612,0.97,안양시 만안구,석수1동
11,30647,12726,2.41,15331,15316,1,안양시 만안구,석수2동
12,12803,5498,2.33,6472,6331,1.02,안양시 만안구,석수3동
13,14590,6987,2.09,7332,7258,1.01,안양시 만안구,박달1동
14,21795,7932,2.75,10867,10928,0.99,안양시 만안구,박달2동
15,27712,10250,2.7,13565,14147,0.96,안양시 동안구,비산1동
16,14571,5167,2.82,7132,7439,0.96,안양시 동안구,비산2동
17,11828,5293,2.23,5939,5889,1.01,안양시 동안구,비산3동
18,16662,6349,2.62,7945,8717,0.91,안양시 동안구,부흥동
19,10207,5418,1.88,4614,5593,0.82,안양시 동안구,달안동
20,34672,15589,2.22,16929,17743,0.95,안양시 동안구,관양1동
21,18681,8806,2.12,9518,9163,1.04,안양시 동안구,관양2동
22,26215,12195,2.15,12699,13516,0.94,안양시 동안구,부림동
23,14245,4936,2.89,6996,7249,0.97,안양시 동안구,평촌동
24,23193,8090,2.87,11302,11891,0.95,안양시 동안구,평안동
25,16407,5122,3.2,8107,8300,0.98,안양시 동안구,귀인동
26,18179,7049,2.58,9149,9030,1.01,안양시 동안구,호계1동
27,19309,7617,2.53,9521,9788,0.97,안양시 동안구,호계2동
28,23290,8979,2.59,11657,11633,1,안양시 동안구,호계3동
29,15471,5838,2.65,7437,8034,0.93,안양시 동안구,범계동
30,12625,4505,2.8,6204,6421,0.97,안양시 동안구,신촌동
31,10774,3911,2.75,5228,5546,0.94,안양시 동안구,갈산동
32,12142,5159,2.35,6044,6098,0.99,안양시 만안구,안양1동
33,22968,10840,2.12,11507,11461,1,안양시 만안구,안양2동
34,16130,7444,2.17,7984,8146,0.98,안양시 만안구,안양3동
35,6835,3572,1.91,3408,3427,0.99,안양시 만안구,안양4동
36,10123,4917,2.06,5039,5084,0.99,안양시 만안구,안양5동
37,26774,12684,2.11,13605,13169,1.03,안양시 만안구,안양6동
38,15128,5769,2.62,7418,7710,0.96,안양시 만안구,안양7동
39,8714,4398,1.98,4497,4217,1.07,안양시 만안구,안양8동
40,16863,7173,2.35,8302,8561,0.97,안양시 만안구,안양9동
41,18899,7445,2.54,9290,9609,0.97,안양시 만안구,석수1동
42,30603,12706,2.41,15315,15288,1,안양시 만안구,석수2동
43,12777,5496,2.32,6451,6326,1.02,안양시 만안구,석수3동
44,14530,6962,2.09,7301,7229,1.01,안양시 만안구,박달1동
45,21810,7942,2.75,10876,10934,0.99,안양시 만안구,박달2동
46,27779,10270,2.7,13595,14184,0.96,안양시 동안구,비산1동
47,14626,5172,2.83,7156,7470,0.96,안양시 동안구,비산2동
48,11774,5269,2.23,5910,5864,1.01,안양시 동안구,비산3동
49,16669,6345,2.63,7948,8721,0.91,안양시 동안구,부흥동
50,10203,5414,1.88,4617,5586,0.83,안양시 동안구,달안동
51,34736,15616,2.22,16958,17778,0.95,안양시 동안구,관양1동
52,18666,8800,2.12,9510,9156,1.04,안양시 동안구,관양2동
53,26206,12191,2.15,12679,13527,0.94,안양시 동안구,부림동
54,14269,4933,2.89,7003,7266,0.96,안양시 동안구,평촌동
55,23183,8088,2.87,11294,11889,0.95,안양시 동안구,평안동
56,16380,5110,3.21,8106,8274,0.98,안양시 동안구,귀인동
57,18203,7053,2.58,9159,9044,1.01,안양시 동안구,호계1동
58,19251,7587,2.54,9503,9748,0.97,안양시 동안구,호계2동
59,23299,8975,2.6,11656,11643,1,안양시 동안구,호계3동
60,15465,5826,2.65,7427,8038,0.92,안양시 동안구,범계동
61,12619,4500,2.8,6199,6420,0.97,안양시 동안구,신촌동
62,10774,3908,2.76,5235,5539,0.95,안양시 동안구,갈산동
63,12097,5136,2.36,6023,6074,0.99,안양시 만안구,안양1동
64,23066,10861,2.12,11552,11514,1,안양시 만안구,안양2동
65,16084,7456,2.16,7964,8120,0.98,안양시 만안구,안양3동
66,6804,3561,1.91,3391,3413,0.99,안양시 만안구,안양4동
67,10128,4926,2.06,5040,5088,0.99,안양시 만안구,안양5동
68,26771,12680,2.11,13598,13173,1.03,안양시 만안구,안양6동
69,15161,5785,2.62,7440,7721,0.96,안양시 만안구,안양7동
70,8677,4370,1.99,4480,4197,1.07,안양시 만안구,안양8동
71,16840,7163,2.35,8297,8543,0.97,안양시 만안구,안양9동
72,18922,7449,2.54,9296,9626,0.97,안양시 만안구,석수1동
73,30593,12708,2.41,15312,15281,1,안양시 만안구,석수2동
74,12763,5488,2.33,6453,6310,1.02,안양시 만안구,석수3동
75,14512,6959,2.09,7278,7234,1.01,안양시 만안구,박달1동
76,21976,8008,2.74,10968,11008,1,안양시 만안구,박달2동
77,27815,10279,2.71,13611,14204,0.96,안양시 동안구,비산1동
78,14627,5165,2.83,7153,7474,0.96,안양시 동안구,비산2동
79,11745,5261,2.23,5876,5869,1,안양시 동안구,비산3동
80,16661,6332,2.63,7945,8716,0.91,안양시 동안구,부흥동
81,10200,5409,1.89,4602,5598,0.82,안양시 동안구,달안동
82,34653,15591,2.22,16922,17731,0.95,안양시 동안구,관양1동
83,18579,8766,2.12,9469,9110,1.04,안양시 동안구,관양2동
84,26174,12175,2.15,12652,13522,0.94,안양시 동안구,부림동
85,14236,4928,2.89,6987,7249,0.96,안양시 동안구,평촌동
86,23170,8096,2.86,11293,11877,0.95,안양시 동안구,평안동
87,16397,5113,3.21,8119,8278,0.98,안양시 동안구,귀인동
88,18221,7055,2.58,9158,9063,1.01,안양시 동안구,호계1동
89,19227,7572,2.54,9477,9750,0.97,안양시 동안구,호계2동
90,23300,8969,2.6,11663,11637,1,안양시 동안구,호계3동
91,15488,5829,2.66,7449,8039,0.93,안양시 동안구,범계동
92,12589,4484,2.81,6186,6403,0.97,안양시 동안구,신촌동
93,10752,3901,2.76,5224,5528,0.95,안양시 동안구,갈산동
94,12114,5141,2.36,6038,6076,0.99,안양시 만안구,안양1동
95,23079,10866,2.12,11568,11511,1,안양시 만안구,안양2동
96,16055,7449,2.16,7947,8108,0.98,안양시 만안구,안양3동
97,6819,3572,1.91,3399,3420,0.99,안양시 만안구,안양4동
98,10102,4925,2.05,5035,5067,0.99,안양시 만안구,안양5동
99,26799,12693,2.11,13606,13193,1.03,안양시 만안구,안양6동
100,15133,5782,2.62,7422,7711,0.96,안양시 만안구,안양7동
101,8652,4358,1.99,4470,4182,1.07,안양시 만안구,안양8동
102,16781,7152,2.35,8269,8512,0.97,안양시 만안구,안양9동
103,18927,7454,2.54,9291,9636,0.96,안양시 만안구,석수1동
104,30557,12708,2.4,15283,15274,1,안양시 만안구,석수2동
105,12727,5483,2.32,6437,6290,1.02,안양시 만안구,석수3동
106,14468,6947,2.08,7257,7211,1.01,안양시 만안구,박달1동
107,22045,8045,2.74,11012,11033,1,안양시 만안구,박달2동
108,27828,10277,2.71,13614,14214,0.96,안양시 동안구,비산1동
109,14653,5181,2.83,7165,7488,0.96,안양시 동안구,비산2동
110,11655,5228,2.23,5838,5817,1,안양시 동안구,비산3동
111,16632,6327,2.63,7940,8692,0.91,안양시 동안구,부흥동
112,10197,5406,1.89,4603,5594,0.82,안양시 동안구,달안동
113,34540,15575,2.22,16848,17692,0.95,안양시 동안구,관양1동
114,18589,8772,2.12,9479,9110,1.04,안양시 동안구,관양2동
115,26160,12169,2.15,12643,13517,0.94,안양시 동안구,부림동
116,14245,4930,2.89,6986,7259,0.96,안양시 동안구,평촌동
117,23176,8091,2.86,11302,11874,0.95,안양시 동안구,평안동
118,16400,5119,3.2,8108,8292,0.98,안양시 동안구,귀인동
119,18274,7065,2.59,9198,9076,1.01,안양시 동안구,호계1동
120,19233,7573,2.54,9466,9767,0.97,안양시 동안구,호계2동
121,23251,8966,2.59,11644,11607,1,안양시 동안구,호계3동
122,15481,5824,2.66,7452,8029,0.93,안양시 동안구,범계동
123,12603,4486,2.81,6194,6409,0.97,안양시 동안구,신촌동
124,10742,3900,2.75,5216,5526,0.94,안양시 동안구,갈산동
125,12083,5128,2.36,6025,6058,0.99,안양시 만안구,안양1동
126,23160,10915,2.12,11599,11561,1,안양시 만안구,안양2동
127,16036,7451,2.15,7947,8089,0.98,안양시 만안구,안양3동
128,6809,3582,1.9,3389,3420,0.99,안양시 만안구,안양4동
129,10092,4914,2.05,5037,5055,1,안양시 만안구,안양5동
130,26806,12703,2.11,13579,13227,1.03,안양시 만안구,안양6동
131,15145,5786,2.62,7432,7713,0.96,안양시 만안구,안양7동
132,8623,4345,1.98,4453,4170,1.07,안양시 만안구,안양8동
133,16762,7145,2.35,8260,8502,0.97,안양시 만안구,안양9동
134,18884,7440,2.54,9261,9623,0.96,안양시 만안구,석수1동
135,30575,12732,2.4,15299,15276,1,안양시 만안구,석수2동
136,12695,5478,2.32,6420,6275,1.02,안양시 만안구,석수3동
137,14453,6943,2.08,7248,7205,1.01,안양시 만안구,박달1동
